Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-10,0.2,4,Al Galayel (IRE),C Maher & D Eustace,B Melham,56,8,7-7-7-4,$6-$5.5,$6
2-10,0.2,3,Orderofthegarter (IRE),D T O'Brien,D Oliver,56.5,9,8-8-8-7,$2.90-$2.8,$3
3-10,0.3,9,Schabau (GER),Robert Hickmott,W Pike,56,4,1-1-1-1,$4.8-$5,$4.60
4-10,1.3,7,Polly Grey (NZ),C J Waller,C Williams,56,2,3-3-4-3,$4.60,$7.50
5-10,3.5,13,Chortomic,Gregory Daffey,Ms C Puls,56,1,6-6-6-6,$51-$26,$31
6-10,4.8,12,Sir Pippin (GB),C J Waller,D Thornton,56,10,10-10-10-10,$20-$26,$21
7-10,5.3,1,Young Rascal (FR),Archie Alexander,J Allen,62,3,5-4-5-5,$7,$7.50
8-10,6.3,11,Admire Winner (JPN),P A Preusker,D Lane,56,5,2-2-2-2,$31,$31
9-10,7.8,8,Bedford (NZ),A & S Freedman,J Mott,56,6,9-9-9-9,$26-$20,$21
10-10,17.8,6,Northwest Passage,C Maher & D Eustace,Jye Mc Neil,56,7,4-5-3-8,$81-$71,$91
