Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-14,0.8,12,Travimyfriend (NZ),Ms R Frost,D Yendall,56,13,13-14-14,$17,$21
2-14,0.8,14,Windstorm,G & A Williams,W Pike,56,3,6-7-2007,$2.05-$2.4,$2.20
3-14,0.9,10,Morvada,P W Jolly,Zac Spain,56,11,1-1-2001,$20-$18,$21
4-14,1.6,6,Inverloch (IRE),T Busuttin & N Young,M J Dee,59.5,4,5-5-2005,$71,$101
5-14,2,13,Adelaide Ace (NZ),L Smith,D Bates,56,9,14-12-10,$31-$26,$31
6-14,2.7,7,Kentucky Breeze,Levi Kavanagh,M Rodd,59,7,10-8-2008,$61-$41,$81
7-14,4.5,9,Romancer (NZ),G M Begg,J Childs,57.5,6,4-4-2004,$8-$8.5,$8
8-14,5.2,8,Yulong January,C Maher & D Eustace,Jye Mc Neil,58,5,2-3-2002,$6.5-$6,$7
9-14,5.4,11,Bumper Blast (NZ),Robert Hickmott,C Williams,56,10,11-11-11,$11-$8.5,$9.50
10-14,6.2,1,Kiwia,Archie Alexander,D Moor,61.5,12,12-13-13,$81,$101
11-14,7.7,2,Furrion (GB),T Dabernig & B Hayes,J Allen,60,2,9-10-12,$26,$21
12-14,8.4,15,Mount Tabora (USA),P & P Snowden,L Currie,56,14,3-2-2003,$51-$61,$41
13-14,8.5,3,Iconoclasm,D T O'Brien,D Oliver,60,1,8-9-2009,$20-$19,$20
14-14,17.6,5,Tshahitsi,Imogen Miller,B Melham,60,8,7-6-2006,$21,$21
