Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-14,1,1,The Chosen One (NZ),M Baker & A Forsman,M J Dee,61.5,1,5-7-6-6,$26-$31,$21
2-14,1,5,Django Freeman (GER),Robert Hickmott,M Rodd,58,3,4-6-5-5,$5,$4
3-14,1.2,4,Aristia,M Ellerton & S Zahra,D Moor,58,11,3-4-4-14,$14-$16,$13
4-14,1.4,12,Rivet Delight (IRE),L Smith,B Melham,56,10,1-2-1-1,$31,$21
5-14,1.5,15,Irish Flame (NZ),Brett Scott,M J Walker,56,8,2-3-3-3,$91-$151,$101
6-14,1.7,6,Mantastic (IRE),C J Waller,W Pike,57.5,12,10-12-10-7,$18,$15
7-14,3.2,13,Prince Ziggy,Jamie Edwards,L Nolen,56,2,14-10-9-4,$31-$41,$31
8-14,3.3,7,Toffee Tongue (NZ),C J Waller,C Williams,57,13,11-8-8-8,$7-$9,$7.50
9-14,3.5,3,Aktau (GB),M D Moroney,Jye Mc Neil,59,7,7-9-7-11,$4.2-$4.6,$3.70
10-14,3.6,14,Good Idea,P Stokes,D Oliver,56,5,6-5-2-2,$31,$21
11-14,3.7,2,Oceanex (NZ),M Price & M Kent Jnr,M Zahra,59.5,9,12-13-12-9,$15-$16,$13
12-14,4.9,10,Harrison (GB),Amy & Ash Yargi,L Currie,56,4,9-1-14-13,$61,$41
13-14,5,11,Midterm (GB),M & L Cerchi,T Nugent,56,6,8-11-11-10,$41-$71,$51
14-14,5.2,16,O'Tauto,G Eurell,L German,56,14,13-14-13-12,$26-$31,$26
