Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-14,2.3,2,Mahamedeis,Nick Ryan,R Mc Leod,59,9,6-6-2002,$2.7-$2.90,$2.60
2-14,2.3,3,Sasko,Matthew Cumani,M Poy,59,8,1-1-2001,$4.6-$6.5,$6
3-14,3.1,1,Double You Tee,Patrick Payne,B Rawiller,60,10,11-13-12,$4.2-$4.4,$3.90
4-14,3.1,5,Patch Adams,Aaron Purcell,D Yendall,58,1,10-10-2009,$18-$17,$21
5-14,6.6,7,Fanciful Toff,C Maher & D Eustace,Jye Mc Neil,58,14,9-8-2004,$6.5-$6,$7.50
6-14,7.3,13,Auf Weidersehen,R N Mathews,C Newitt,58,7,13-12-6,$31,$41
7-14,7.5,8,Under Oath,Henry Dwyer,D Thornton,58,4,4-4-2003,$16,$26
8-14,9,4,Strategic Demand,Patrick Payne,J Kah,58,11,5-5-2007,$31,$26
9-14,9.1,12,Karakoram,C F Hyland,J Childs,58,12,14-14-11,$91,$101
10-14,11.1,11,So Able,S McCusker,Ms Yoko Ota,58,3,7-7-10,$81,$101
11-14,11.4,15,Gold Ollie,D P Blackshaw,P Moloney,56,13,2-3-2005,$41,$51
12-14,15.7,14,Don't Be Shy,J P Salanitri,D Holland,56,5,8-9-13,$101,$151
13-14,16.9,9,Benall,G A Cousins,L German,58,2,12-11-14,$101-$91,$101
14-14,17.9,10,Dandre,I M Pankhurst,Ms G Cartwright,58,6,3-2-2008,$151-$101,$201
