Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-9,0.3,1,Mystery Shot,L Smith,M Rodd,58.5,2,1-2-2002,$1.7-$1.6,$1.65
2-9,0.3,3,Wicklow Town,Julie Scott,D Oliver,56,3,5-1-2001,$7,$11
3-9,1.6,6,Savvy Lad (NZ),T Busuttin & N Young,M J Walker,56,1,4-5-2004,$19-$26,$21
4-9,3,8,Regardsmaree,Henry Dwyer,J Kah,56,9,9-9-2009,$10-$11,$9.50
5-9,3.1,2,Splendoronthegrass,T Dabernig & B Hayes,B Melham,56,7,6-3-2003,$11-$13,$11
6-9,4.4,4,Reckoning,Nick Ryan,C Williams,56,4,7-8-2008,$13-$14,$12
7-9,7.6,5,Paul's Regret,P A Chow,J Mott,56,6,3-6-2006,$15,$19
8-9,7.9,10,Sunset Eagle,Shea Eden,D Dunn,56,8,2-4-2007,$61,$101
9-9,8.4,7,Zero Doubt,M Price & M Kent Jnr,D Yendall,56,5,8-7-2005,$11,$14
