Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-13,1.5,7,Behemoth,D R Jolly,C Williams,59,2,4-4-2003,$3.4-$3.8,$3.30
2-13,1.5,6,Mr Quickie,P Stokes,D Dunn,59,5,9-9-2008,$12-$11,$14
3-13,2.3,15,Glenfiddich,P G Moody,C Newitt,50.5,10,3-3-2004,$7.5-$5.5,$6
4-13,2.4,9,Cascadian (GB),James Cummings,D Oliver,59,8,13-13-13,$5.50,$6
5-13,2.5,4,So Si Bon,T Dabernig & B Hayes,D W Stackhouse,59,3,5-6-2006,$21,$21
6-13,2.8,10,Begood Toya Mother,Daniel Bowman,D Bates,59,7,1-2-2001,$19,$21
7-13,3.6,2,Harlem (GB),T Dabernig & B Hayes,J Mott,59,6,11-12-10,$101-$151,$101
8-13,3.8,14,Princess Jenni (NZ),D R Brideoake,E Brown,57,12,10-10-12,$31,$51
9-13,4.5,8,Iconoclasm,D T O'Brien,D Moor,59,1,7-7-2007,$61,$81
10-13,5.5,11,Mystic Journey,Adam Trinder,W Egan,57,4,6-5-2005,$7.50,$8
11-13,5.7,5,Streets Of Avalon,S P Nichols,B Melham,59,13,2-1-2002,$12,$15
12-13,5.8,1,Regal Power,G & A Williams,W Pike,59,9,8-8-2009,$11,$12
13-13,6,3,Gatting,P G Moody,L Nolen,59,11,12-11-11,$31-$41,$31
