Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-13,2,12,Felicia,D Binaisse,C Williams,55,12,2-2-2002,$4.6-$6.5,$6
2-13,2,4,Broadwayandfourth,Mitchell Freedman,B Melham,56,1,7-7-2007,$31-$51,$31
3-13,2.2,7,Fiesta,C J Waller,M J Walker,55,10,11-11-12,$16-$19,$12
4-13,2.4,3,In Good Time,T J Bartley,M Rodd,56,2,3-3-2003,$41-$31,$51
5-13,2.9,9,She's A Thief (NZ),M D Moroney,D W Stackhouse,55,6,1-1-2001,$26,$31
6-13,3.6,6,Lyre,A & S Freedman,L Currie,55,3,10-10-10,$2.3-$2.15,$2.20
7-13,3.9,13,Bons Abroad,K L Corstens,C Newitt,55,11,13-13-13,$41-$51,$31
8-13,4.1,8,Missile Mantra,P & P Snowden,D Lane,55,7,9-9-2009,$10-$11,$8.50
9-13,4.5,1,Spanish Whisper,T Dabernig & B Hayes,Jye Mc Neil,58,9,6-6-2006,$14,$20
10-13,4.6,5,I Am Eloquent,T Busuttin & N Young,D Oliver,56,8,5-5-2004,$31-$26,$31
11-13,4.9,2,Humma Humma,John McArdle,J Mott,57,13,12-12-11,$7.5-$9,$8.50
12-13,7.2,10,Our Campana,P G Moody,L Nolen,55,5,8-8-2008,$51,$61
13-13,7.4,11,Jentico,T & C McEvoy,W Egan,55,4,4-4-2005,$61,$101
