Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-16,0.1,17,In Good Health,P G Moody,L Nolen,56,15,4-3-2-2,$41-$71,$61
2-16,0.1,8,Sircconi,Nick Ryan,D W Stackhouse,58,6,2-2-3-3,$2.8-$2.7,$3
3-16,0.5,14,Game Keeper,T & C McEvoy,L Currie,56,1,5-5-5-4,$4.60,$5.50
4-16,1.5,12,Think We're Due,Andrew Noblet,W Pike,56,4,1-1-1-1,$13-$16,$14
5-16,1.6,4,Dr Drill (GB),C Maher & D Eustace,C Williams,59.5,13,15-14-14-13,$10,$9
6-16,2.1,9,Aristia,M Ellerton & S Zahra,Jye Mc Neil,57.5,5,3-4-4-5,$20-$21,$18
7-16,2.3,2,Mirage Dancer (GB),T Busuttin & N Young,B Melham,62,2,8-9-8-8,$16-$19,$18
8-16,3,11,Plein Ciel (GER),D T O'Brien,D Oliver,57,9,7-7-9-9,$5.5-$6,$5
9-16,3.2,5,Haky (IRE),Archie Alexander,D Bates,59.5,7,9-8-6-6,$41,$101
10-16,4.2,18,Minola,P A Preusker,D Yendall,56,11,14-11-11-10,$61,$61
11-16,4.3,10,Mantastic (IRE),C J Waller,D Thornton,57.5,14,16-16-15-14,$41,$51
12-16,4.4,7,Gallic Chieftain (FR),Archie Alexander,D Lane,58,10,11-12-12-11,$61-$51,$151
13-16,6.9,6,Steel Prince (IRE),A & S Freedman,M Zahra,59.5,16,13-15-16-16,$31-$26,$31
14-16,7.1,15,Red Alto,Brent Stanley,C Newitt,56,8,10-10-10-12,$151,$201
15-16,7.3,1,Cape Of Good Hope (IRE),T Dabernig & B Hayes,J Mott,62,3,6-6-7-7,$81-$71,$101
16-16,15.3,3,Constantinople (IRE),T Dabernig & B Hayes,M Rodd,61.5,12,12-13-13-15,$31,$41
