Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-8,0.8,4,Viridine,James Cummings,D Oliver,58.5,4,6-6-2005,$2.25,$2.70
2-8,0.8,2,Streets Of Avalon,S P Nichols,B Melham,58.5,1,3-3-2003,$5.50,$4.40
3-8,1.2,5,Great Again,L Smith,M Rodd,58.5,5,2-2-2001,$7,$5.50
4-8,2.1,8,Sansom (NZ),P Stokes,L Nolen,58,6,5-5-2006,$7.5-$6,$6.50
5-8,2.6,9,She Shao Fly,K L Corstens,D Dunn,56,7,7-7-2007,$19-$41,$31
6-8,3.4,6,I Am Someone,P A Preusker,D Bates,58.5,3,4-4-2004,$13,$19
7-8,5.4,1,Jungle Edge,M A Bell,Ms J Da Rose,58.5,8,1-1-2002,$8-$7.5,$11
8-8,5.6,7,I'm Telling Ya,Amy & Ash Yargi,D Yendall,58.5,2,8-8-2008,$31,
