Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-15,0.1,10,Immortal Love,M Price & M Kent Jnr,C Newitt,57,4,11-10,$8,$9.50
2-15,0.1,7,Flying Award,D T O'Brien,D Oliver,58,6,13-12,$8.50,$10
3-15,0.2,1,Tagaloa,T Busuttin & N Young,M J Walker,59.5,8,3-2,$3.6-$3.7,$3.40
4-15,0.4,4,Extra Time,L Macdonald & A Gluyas,J Kah,58.5,12,4-3,$31-$41,$31
5-15,0.8,11,Ranting (NZ),L & T Corstens,D Dunn,57,10,12-15,$15,$17
6-15,1,9,Crosshaven,T Dabernig & B Hayes,D W Stackhouse,57,2,7-6,$6.50,$8.50
7-15,3.5,8,Khoekhoe,Matthew Cumani,F W Kersley,57,7,9-9,$18-$19,$18
8-15,3.8,6,Rathlin,C Maher & D Eustace,Jye Mc Neil,58,3,5-5,$17-$18,$15
9-15,4,14,National Choice,M Price & M Kent Jnr,M J Dee,57,13,15-14,$15-$13,$14
10-15,4.7,2,Hard Landing,T Dabernig & B Hayes,C Williams,58.5,11,1-1,$18,$31
11-15,4.8,13,The Last Charge,K L Corstens,B Mertens,57,9,2-4,$101,$101
12-15,5.8,16,Loca,"M, W & J Hawkes",D Lane,57,1,10-8,$61,$51
13-15,6,5,Larimer Street,T Busuttin & N Young,M Rodd,58,5,8-7,$41-$61,$51
14-15,7,3,Our Playboy,M Price & M Kent Jnr,B Melham,58.5,14,14-13,$7.5-$8,$6.50
15-15,7.3,15,Branders Rule,P G Moody,L Nolen,57,15,6-11,$31,$31
