meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Skyt,4,Gelding,Nicconi,Sky Trist,2,Jamie Kah,5,Richard Laming,61.5,0,0x87212x0042,10:1-3-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:1-2-0,3:0-0-0,1:0-1-0,0:0-0-0,3:0-0-0,2:0-0-0,$63 360,14,Bench. 64,2100,J Kah,2.6,02/08/20,Ladbrokes Cash In (Bm64),1-Melarita,4,31,02:11.15,Sandown-Lakeside,Good 4,61,0:0-0-0,173075,846041,915486,23613,15027,23613,15027,$50000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Skyt,4,Gelding,Nicconi,Sky Trist,2,Jamie Kah,5,Richard Laming,61.5,0,0x87212x0042,10:1-3-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:1-2-0,3:0-0-0,1:0-1-0,0:0-0-0,3:0-0-0,2:0-0-0,$63 360,10,Open,1600,W Price,11.0,18/07/20,Tab/Ata Trainers' Trust Hcp,1-Right You Are,14,201,01:38.28,Flemington,Soft 5,56,0:0-0-0,172904,844853,915486,23613,15027,23613,16457,$108000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Skyt,4,Gelding,Nicconi,Sky Trist,2,Jamie Kah,5,Richard Laming,61.5,0,0x87212x0042,10:1-3-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:1-2-0,3:0-0-0,1:0-1-0,0:0-0-0,3:0-0-0,2:0-0-0,$63 360,10,Bench. 64,1400,Ms A Bryan,5.0,02/07/20,Tab Long May We Play (Bm64),1-Vladivostok,13,41,01:26.96,Cranbourne,Soft 6,59,0:0-0-0,172724,843706,915486,23613,15027,23613,15689,$31500
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Skyt,4,Gelding,Nicconi,Sky Trist,2,Jamie Kah,5,Richard Laming,61.5,0,0x87212x0042,10:1-3-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:1-2-0,3:0-0-0,1:0-1-0,0:0-0-0,3:0-0-0,2:0-0-0,$63 360,10,Listed,2200,A Darmanin,2.0,01/02/20,Schweppes Tasmanian Derby,1-Vamos Raffa,2,7,02:21.17,Hobart,Good 4,57,0:0-0-0,170759,831905,915486,23613,15027,23613,12590,$150000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Skyt,4,Gelding,Nicconi,Sky Trist,2,Jamie Kah,5,Richard Laming,61.5,0,0x87212x0042,10:1-3-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:1-2-0,3:0-0-0,1:0-1-0,0:0-0-0,3:0-0-0,2:0-0-0,$63 360,5,Maiden,2060,D Thornton,4.5,17/01/20,Tab Long May We Play Mdn Plate,2-Willetts,1,2.25,02:10.88,Cranbourne,Good 4,57,0:0-0-0,170542,830458,915486,23613,15027,23613,14810,$35000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Skyt,4,Gelding,Nicconi,Sky Trist,2,Jamie Kah,5,Richard Laming,61.5,0,0x87212x0042,10:1-3-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:1-2-0,3:0-0-0,1:0-1-0,0:0-0-0,3:0-0-0,2:0-0-0,$63 360,5,Maiden,1600,J Lyon,1.8,09/01/20,Better Rural Health Serv. Mdn,1-Konkalikon,2,6,01:37.94,Stony Creek,Good 3,57,0:0-0-0,170395,829578,915486,23613,15027,23613,11959,$23000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Skyt,4,Gelding,Nicconi,Sky Trist,2,Jamie Kah,5,Richard Laming,61.5,0,0x87212x0042,10:1-3-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:1-2-0,3:0-0-0,1:0-1-0,0:0-0-0,3:0-0-0,2:0-0-0,$63 360,1,Maiden,1440,Jye Mc Neil,8.9,18/12/19,Ladbrokes Back Yourself Mdn,1-Mrs Beckham,7,61,01:26.42,Caulfield,Good 4,58,0:0-0-0,170064,827782,915486,23613,15027,23613,14936,$50000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Skyt,4,Gelding,Nicconi,Sky Trist,2,Jamie Kah,5,Richard Laming,61.5,0,0x87212x0042,10:1-3-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:1-2-0,3:0-0-0,1:0-1-0,0:0-0-0,3:0-0-0,2:0-0-0,$63 360,9,Maiden,1000,Ms J Payne,7.6,29/11/19,Designer Coolrooms Mdn Plate,1-Sham I Am,8,13,00:59.45,Cranbourne,Good 3,57,0:0-0-0,169729,826029,915486,23613,15027,23613,3370,$35000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Skyt,4,Gelding,Nicconi,Sky Trist,2,Jamie Kah,5,Richard Laming,61.5,0,0x87212x0042,10:1-3-0,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:1-2-0,3:0-0-0,1:0-1-0,0:0-0-0,3:0-0-0,2:0-0-0,$63 360,10,Maiden,1300,Ms J Payne,7.4,05/07/19,Bolton's Mdn Plate,1-Spirit Medium,11,26,01:18.82,Bendigo,Soft 5,58,0:0-0-0,167126,812624,915486,23613,15027,23613,3370,$35000
27/08/2020 00:00:00,Mornington,1,27-Aug-2020 13:00,3080,3yo+,Benchmark 70,56,Of $35000  -  1st  $19250 | 2nd  $6300| 3rd  $3150| 4th  $1750| 5th  $1050,,Handicap,Janet Hemmings (Bm70),Apprentices Can Claim,Wil John,5,Gelding,Reset,Arohanui,3,John Allen,8,C Maher & D Eustace,61.5,0,17360x21x321,12:3-2-2,0: 0-0-0,0: 0-0-0,0: 0-0-0,0:0-0-0,6:3-1-0,5:0-1-1,1:0-0-1,0:0-0-0,4:0-1-1,3:2-1-0,$68 325,8,Bench. 64,2447,J Allen,0.2,31/07/20,Dmb Contracting (Bm64),2-Like The Clappers,1,8,02:33.92,Geelong,Good 4,59,0:0-0-0,173049,845852,893789,27269,14854,27269,14854,$31500
