Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-11,1.5,13,Odeum,M Price & M Kent Jnr,M J Walker,56,2,2-3-2003,$21,$26
2-11,1.5,2,Aidensfield,T Dabernig & B Hayes,D W Stackhouse,57,10,7-7-2007,$3.2-$3.3,$3.10
3-11,2.5,4,Mozzie Monster,J D Sadler,B Melham,56,7,8-9-2009,$3.70,$4.20
4-11,2.7,8,Yes Baby Yes,L & T Corstens,C Williams,56,3,1-1-2001,$26,$41
5-11,3.4,11,Redeel,M Price & M Kent Jnr,M J Dee,56,1,6-6-2006,$51,$41
6-11,3.7,6,Agreeable,A & S Freedman,D Lane,56,9,9-10-11,$5,$6
7-11,4,5,Silhouette,James Cummings,J Allen,56,8,11-11-10,$31,$41
8-11,5,3,Cafe Rizu,M Price & M Kent Jnr,D Oliver,57,11,10-8-2008,$26,$51
9-11,5.1,10,Melba Storm,T Busuttin & N Young,W Pike,56,4,5-5-2005,$12-$13,$11
10-11,5.2,12,Hindaam (NZ),T Dabernig & B Hayes,L Nolen,56,6,4-2-2002,$8.50,$7.50
11-11,9.5,7,Malicorne,M M Laurie,J Childs,56,5,3-4-2004,$17-$19,$17
