Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-15,0.8,8,September Run,C J Waller,C Williams,57.5,2,11-11-14,$12-$18,$15
2-15,0.8,9,Swats That,L & T Corstens,J Allen,57,14,8-8-2005,$7-$8.5,$7
3-15,1.2,4,Minhaaj,T Dabernig & B Hayes,D W Stackhouse,58.5,12,6-6-2004,$4.40,$5.50
4-15,2.6,3,Letzbeglam,T Busuttin & N Young,M J Dee,58.5,6,4-4-2003,$8.5-$7,$10
5-15,3.4,7,Supreme Idea,A & S Freedman,M Zahra,57.5,13,1-1-2002,$26-$19,$20
6-15,3.5,6,Parlophone,M Price & M Kent Jnr,Jye Mc Neil,57.5,9,9-9-2008,$5-$6,$5
7-15,3.7,1,Mildred,G M Begg,J Childs,58.5,7,2-2-2001,$10,$13
8-15,4.1,13,Yosemite (NZ),R D Griffiths,W Pike,56,8,7-7-2009,$11,$13
9-15,4.2,15,Jenni's Rainbow,D R Brideoake,E Brown,56,4,13-13-15,$18-$21,$16
10-15,4.3,12,Unstoppabelle,C Maher & D Eustace,W Egan,56,10,12-12-10,$26,$16
11-15,4.5,18,Amuri,T & C McEvoy,B Melham,56,15,14-14-12,$21-$18,$21
12-15,4.6,14,Zooming Zebra,Russell Osborne,L Nolen,56,5,10-10-2006,$81-$71,$81
13-15,6.3,10,Standoff,Grant & Peter Dalziel,B Park,57,11,15-15-13,$51-$41,$61
14-15,11.6,2,A Beautiful Night,C Maher & D Eustace,J Mott,58.5,3,3-3-2007,$51,$61
15-15,12.8,16,Gypsy Choice,M Price & M Kent Jnr,L Currie,56,1,5-5-11,$41,$61
