Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-16,0.8,9,Orderofthegarter (IRE),D T O'Brien,D Oliver,56,4,5-5-4-3,$3.10,$2.90
2-16,0.8,11,Chapada,M D Moroney,D W Stackhouse,55,7,12-12-12-14,$31,$21
3-16,0.9,6,Steel Prince (IRE),A & S Freedman,Jye Mc Neil,58.5,3,8-8-7-5,$13-$15,$11
4-16,1.6,10,In Good Health,P G Moody,L Nolen,55,14,1-1-1-1,$19-$18,$21
5-16,2.8,13,Polly Grey (NZ),C J Waller,J Allen,55,10,9-9-9-8,$31-$41,$31
6-16,3,14,Game Keeper,T & C McEvoy,L Currie,55,8,11-11-10-10,$9.50,$10
7-16,4,12,Dabiyr (IRE),C J Waller,M J Walker,55,2,4-4-5-6,$12,$13
8-16,4.1,7,Mahamedeis,Nick Ryan,R Mc Leod,57.5,1,7-7-8-9,$12-$15,$13
9-16,4.3,15,Think We're Due,Andrew Noblet,W Pike,55,13,3-3-2-2,$31-$41,$31
10-16,4.5,8,Gallic Chieftain (FR),Archie Alexander,D Lane,56.5,6,13-13-13-16,$71,$61
11-16,5,19,Super Girl,Joshua Julius,W Egan,55,9,15-15-15-12,$101-$81,$91
12-16,6,20,Shandy,M Ellerton & S Zahra,D Moor,55,15,10-10-11-11,$26,$31
13-16,6.3,18,Kinane (NZ),C J Waller,M J Dee,55,11,14-14-14-13,$8.50,$11
14-16,6.8,17,The King (IRE),L Smith,D Yendall,55,16,16-16-16-15,$101-$151,$101
15-16,10.8,4,Haky (IRE),Archie Alexander,D Bates,59,12,2-2-3-4,$51,$71
16-16,12.6,3,Dr Drill (GB),C Maher & D Eustace,C Williams,59,5,6-6-6-7,$6-$6.5,$6
