Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-11,0.1,3,Fabric (NZ),D T O'Brien,C Williams,59.5,11,9-9-11,$7,$7
2-11,0.1,10,Parmie,M Ellerton & S Zahra,D Lane,56,7,5-5-2005,$6,$5.50
3-11,0.3,7,La Tigeresa,J Warren & D Krongold,M Rodd,58.5,6,10-8-2007,$13,$21
4-11,0.5,8,So You Swing,M Ellerton & S Zahra,L Currie,57,3,11-11-10,$7,$9
5-11,0.7,6,Strome,D J O'Prey,M Poy,57.5,5,3-4-2004,$21,$26
6-11,2.7,11,Red Heeler (NZ),M C Kent,B Mertens,56,2,6-6-2006,$15-$19,$16
7-11,3,4,Fascino (NZ),C Maher & D Eustace,J Allen,59.5,1,7-10-2009,$10,$9
8-11,3.2,9,The Closer,C Maher & D Eustace,J Mott,56.5,9,4-1-2002,$9.5-$9,$10
9-11,3.4,13,Thousand Wishes,D T O'Brien,Jye Mc Neil,56,10,2-2-2001,$8.5-$10,$8.50
10-11,4.1,14,Zousonic,M Ellerton & S Zahra,D Moor,56,4,8-7-2008,$5.5-$6,$5.50
11-11,4.9,1,Clarice Cliffs,G Eurell,L German,58.5,8,1-3-2003,$13,$14
