Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-11,0.8,4,Doubtland,"M, W & J Hawkes",W Pike,58.5,9,8-7,$6.5-$8,$7
2-11,0.8,6,Amish Boy,C Maher & D Eustace,J Mott,57,1,11-10,$31-$51,$41
3-11,0.9,7,Ranting (NZ),L & T Corstens,B Melham,57,5,10-9,$9.5-$14,$13
4-11,1,1,Prague,C Maher & D Eustace,J Allen,58.5,8,4-2,$4-$4.4,$4.20
5-11,2.8,10,Personal,T Dabernig & B Hayes,D Oliver,55,4,9-11,$9.50,$14
6-11,3.5,5,Extra Time,L Macdonald & A Gluyas,C Williams,58.5,2,6-5,$15,$21
7-11,4.3,8,On The Lead,R & M Freedman,L Currie,57,10,7-6,$10-$11,$8
8-11,4.8,11,Annavisto (NZ),M Price & M Kent Jnr,Jye Mc Neil,55,6,5-8,$8-$5.5,$6
9-11,5.8,9,Tydeus,L Smith,M Rodd,57,11,2-1,$10-$9.5,$14
10-11,6.2,3,Hard Landing,T Dabernig & B Hayes,L Nolen,58.5,3,3-3,$41,$51
11-11,9.7,2,Wisdom Of Water,M Price & M Kent Jnr,M Zahra,58.5,7,1-4,$6,$7.50
