Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-13,0.2,13,Diamond Effort,C W McDonald,B Melham,56,13,6-4,$6-$6.5,$6
2-13,0.2,14,Lyre,A & S Freedman,L Currie,55,2,8-6,$4.40,$4.60
3-13,0.4,4,Runson,L & T Corstens,J Allen,58,12,2-2,$61-$71,$61
4-13,0.5,5,Bold Star,G V Richards,C Williams,58,7,11-11,$21-$26,$21
5-13,0.7,6,Garner,G V Richards,D Dunn,58,3,7-9,$4.80,$5
6-13,0.8,12,Humma Humma,John McArdle,J Mott,56.5,5,9-5,$7.5-$8,$7
7-13,1.5,7,Banquo,D T O'Brien,D Oliver,58,6,5-8,$11-$9.5,$12
8-13,1.6,8,Dollar For Dollar,T & C McEvoy,J Kah,57,1,4-3,$20-$19,$21
9-13,1.8,2,Superstorm,G & A Williams,W Pike,58,8,10-10,$7-$8,$7.50
10-13,2.8,1,Crystal Dreamer,M Ellerton & S Zahra,D Lane,58.5,10,1-1,$11-$12,$11
11-13,3.8,11,Maritana,J R Welsh,P Moloney,57,4,3-7,$151,$201
12-13,4.3,10,Rock Prophet,R J Besanko,L German,57,9,12-12,$41,$61
13-13,12.3,9,Trope,Julius Sandhu,B Mertens,57,11,13-13,$81-$101,$91
