Pos,Margin,No,Horse,Trainer,Jockey,Weight,Bar,In Run,Flucs,Price
1-14,0.2,3,Chassis,J W Price,D Dunn,57.5,10,6-6-2007,$4.20,$5.50
2-14,0.2,1,Rich Hips,T Busuttin & N Young,D Oliver,58.5,8,13-13-13,$5-$4,$5
3-14,1,8,Shush,M Price & M Kent Jnr,B Melham,56,3,5-5-2005,$10,$11
4-14,1.7,4,Beatrix,A W Noonan,H Grace,54,7,2-2-2002,$9.5-$13,$9.50
5-14,2.2,10,Finesse Tess,K L Corstens,D W Stackhouse,56,12,3-3-2003,$6,$5.50
6-14,2.4,2,That Girl,P Stokes,L Nolen,58.5,2,9-9-10,$8-$9.5,$9
7-14,2.5,5,Modear,Patrick Payne,Jye Mc Neil,56.5,9,14-14-14,$14-$17,$16
8-14,2.7,13,Chica Bonita,M C Kent,L German,54,11,10-10-11,$101,$151
9-14,2.8,7,Paris,P G Moody,W Price,53,4,7-7-2006,$13-$14,$12
10-14,2.9,14,Quality Diamond,Ms N Burke,B Mertens,56,1,1-1-2001,$101-$151,$101
11-14,4.1,11,Wynsome Maid,K M Keys,C Newitt,56,6,12-12-12,$61,$101
12-14,4.9,6,Gimme The Goss,Henry Dwyer,M Rodd,56,14,8-8-2008,$31-$18,$19
13-14,5.1,9,Zoupino,Lloyd Kennewell,Zac Spain,56,5,11-11-2009,$20,$31
14-14,15.1,12,Kimberley Spirit,A W Noonan,J Noonan,56,13,4-4-2004,$26-$41,
